МИД ответил на заявление Эстонии о нарушении границы самолетом Лаврова,мид ответить на заявление эстония о нарушение граница самолёт лавров,https://news.yandex.ru/yandsearch?cl4url=ria.ru%2Fpolitics%2F20170505%2F1493789036.html,"Полет над Эстонией самолета с министром иностранных дел России Сергеем Лавровым на борту был согласован, сообщила в пятницу официальный представитель МИД РФ Мария Захарова.",полёт над эстония самолёт с министр иностранный дело россия сергей лавров на борт быть согласовать сообщить в пятница официальный представитель мид рф мария захаров
Глава минобороны США распорядился пересмотреть программу ПРО,глава минобороны сша распорядиться пересмотреть программа про,https://news.yandex.ru/yandsearch?cl4url=tass.ru%2Fmezhdunarodnaya-panorama%2F4235891,"Министр обороны США Джеймс Мэттис отдал распоряжение провести пересмотр национальной программы противоракетной обороны (ПРО). Об этом сообщила официальный представитель Пентагона Дана Уайт. По ее словам, соответствующее указание было отдано в пятницу.",министр оборона сша джеймс мэттис отдать распоряжение провести пересмотр национальный программа противоракетный оборона про о это сообщить официальный представитель пентагон дать уайт по она слово соответствующий указание быть отдать в пятница
"ФСБ рассказала, что делал украинский катер у берегов Крыма",фсб рассказать что делать украинский катер у берег крым,https://news.yandex.ru/yandsearch?cl4url=ria.ru%2Fworld%2F20170505%2F1493788138.html,"Украинский спасательный катер, вход которого в российские территориальные воды у берегов Крыма пресекли пограничники, вел фото и видеосъемку судов, заявили в пресс-службе Пограничного управления ФСБ по региону.",украинский спасательный катер вход который в российский территориальный вода у берег крым пресечь пограничник вести фото и видеосъемка судно заявить в прессслужба пограничный управление фсб по регион
Четыре страны вслед за ЕС продлили санкции против России,четыре страна вслед за ес продлить санкция против россия,https://news.yandex.ru/yandsearch?cl4url=www.gazeta.ru%2Fpolitics%2F2017%2F05%2F05_a_10660097.shtml,"Четыре страны, не входящие в Евросоюз, по примеру ЕС продлили санкции в отношении России - Норвегия, Албания,Украина и Черногория.",четыре страна не входящая в евросоюз по пример ес продлить санкция в отношение россия норвегия албанияукраина и черногория
На Украине обиделись на шутку итальянского ТВ про Крым и Евровидение,на украина обидеться на шутка итальянский тв про крым и евровидение,https://news.yandex.ru/yandsearch?cl4url=ria.ru%2Fworld%2F20170505%2F1493777912.html,"Украинских пользователей соцсетей возмутила шутка ведущего итальянского телеканала RAI про Крым и Евровидение, сообщает издание &quot;Обозреватель&quot;.",украинский пользователь соцсеть возмутить шутка ведущий итальянский телеканал rai про крым и евровидение сообщать издание quotобозревательquot
МИД назвал ничтожным решение Совета Европы о «тяжелой доле» крымчан,мид назвать ничтожный решение совет европа о тяжёлый доле крымчанин,https://news.yandex.ru/yandsearch?cl4url=www.gazeta.ru%2Fpolitics%2F2017%2F05%2F05_a_10659719.shtml,"Россия заявила, что не считает себя связанной решением Комитета министров Совета Европы о том, что на территории Крыма наблюдается перманентное ухудшение положения с правами человека. Также МИД РФ выразил удивление тем, что российский регион в европейских документах назван украинским.",россия заявить что не считать себя связанный решение комитет министр совет европа о тот что на территория крым наблюдаться перманентный ухудшение положение с право человек также мид рф выразить удивление тем что российский регион в европейский документ назвать украинский
Сборная России выиграла у Швеции стартовый матч ЧМ по хоккею,сборная россия выиграть у швеция стартовый матч чм по хоккей,https://news.yandex.ru/yandsearch?cl4url=www.interfax.ru%2Fsport%2F561332,"Основное время матча завершилось вничью. В овертайме, который впервые в истории чемпионатов мира прошел в формате 3х3, победителя выявить не удалось: при этом россияне провели несколько контратак, включая выход один на один. В серии буллитов успех сопутствовал сборной России.",основный время матч завершиться вничью в овертайм который впервые в история чемпионат мир пройти в формат х победитель выявить не удаться при это россиянин провести несколько контратака включая выход один на один в серия буллит успех сопутствовать сборный россия
Кадыров пообещал помочь проверкам ситуации с правами геев в Чечне,кадыров пообещать помочь проверка ситуация с право геев в чечня,https://news.yandex.ru/yandsearch?cl4url=ria.ru%2Fsociety%2F20170505%2F1493777622.html,"В Чечне готовы взаимодействовать с федеральными органами для проверки сообщений СМИ о ситуации с правами сексуальных меньшинств в республике, заявил журналистам глава Чечни Рамзан Кадыров. При этом он подчеркнул, что &quot;в чеченском обществе нет самого явления, именуемого нетрадиционной ориентацией&quot;.",в чечня готовый взаимодействовать с федеральный орган для проверка сообщение сми о ситуация с право сексуальный меньшинство в республика заявить журналист глава чечня рамзан кадыров при это он подчеркнуть что quotть чеченский общество нет самый явление именовать нетрадиционный ориентациейquot
Актеру Стивену Сигалу запретили въезд на Украину на пять лет,актёр стивен сигала запретить въезд на украина на пять год,https://news.yandex.ru/yandsearch?cl4url=regnum.ru%2Fnews%2Fpolit%2F2272157.html,"Служба безопасности Украины (СБУ) запретила на пять лет въезд в страну американскому актеру Стивену Сигалу, который с ноября 2016 года является российским гражданином. Об этом сегодня, 5 мая, сообщают украинские СМИ. Сообщается, что Сигалу запрещен въезд на Украину сроком на пять лет.",служба безопасность украина сбу запретить на пять год въезд в страна американский актёр стивен сигала который с ноябрь год являться российский гражданин о это сегодня май сообщать украинский сми сообщаться что сигала запретить въезд на украина срок на пять год
Россия с 1 мая прекратила применение боевой авиации в Сирии,россия с май прекратить применение боев авиация в сирия,https://news.yandex.ru/yandsearch?cl4url=rg.ru%2F2017%2F05%2F05%2Frossiia-s-1-maia-prekratila-primenenie-boevoj-aviacii-v-sirii.html,"Начальник Главного оперативного управления Генштаба Вооруженных сил России генерал- полковник Сергей Рудской заявил о том, что РФ прекратила применение боевой авиации в Сирии.",начальник главный оперативный управление генштаб вооружённый сила россия генерал полковник сергей рудский заявить о тот что рф прекратить применение боев авиация в сирия
Госдума отреагировала на обвинения Киева в захвате украинского катера,госдума отреагировать на обвинение киев в захват украинский катер,https://news.yandex.ru/yandsearch?cl4url=ura.news%2Fnews%2F1052288119,"Депутат Госдумы Дмитрий Белик ответил на обвинение Киева в адрес России в захвате украинского спасательного катера. По словам народного избранника, у России нет никакой необходимости в украинских судах.",депутат госдума дмитрий белик ответить на обвинение киев в адрес россия в захват украинский спасательный катер по слово народный избранник у россия нет никакой необходимость в украинский суд
Военные фантазии: как в России стали ждать захвата Приморья США,военный фантазия как в россия стать ждать захват приморье сша,https://news.yandex.ru/yandsearch?cl4url=www.dp.ru%2Fa%2F2017%2F05%2F05%2FVoennie_fantazii_kak_v_R,В России снова приготовились к войне с США — на этот раз из-за Северной Кореи. За паническими сообщениями об американских планах по захвату Приморья можно рассмотреть желание скрыть рост сотрудничества с Пхеньяном.,в россия снова приготовиться к война с сша на этот раз изз северный корея за панический сообщение о американский план по захват приморье можно рассмотреть желание скрыть рост сотрудничество с пхеньян
Россия переводит все рейсы с Белоруссией в международный сектор,россия переводить весь рейс с белоруссия в международный сектор,https://news.yandex.ru/yandsearch?cl4url=tass.ru%2Fekonomika%2F4235096,"&quot;С 15 мая все рейсы с Белоруссией переносят в международный сектор в соответствии с приказом Министерства транспорта Российской Федерации от 11.04.2017 № 143&quot;, - сообщили в Жуковском.",quotс май весь рейс с белоруссия переносить в международный сектор в соответствие с приказ министерство транспорт российский федерация от № quot сообщить в жуковский
Муфтий: акция «Бессмертный полк» не противоречит нормам ислама,муфтий акция бессмертный полк не противоречить норма ислам,https://news.yandex.ru/yandsearch?cl4url=www.ntv.ru%2Fnovosti%2F1803939%2F,"Ранее власти Таджикистана заявили, что акция &quot;Бессмертный полк&quot; не будет проводиться на территории республики 9 Мая по ряду причин, в том числе потому, что исламские традиции не позволяют выходить на улицы с портретами погибших. Однако муфтий Шафиг Пшхачев не согласился с этой позицией.",ранее власть таджикистан заявить что акция quotбессмертный полкquot не быть проводиться на территория республика май по ряд причина в тот число потому что исламский традиция не позволять выходить на улица с портрет погибший однако муфтий шафиг пшхачев не согласиться с этот позиция
Путин пообещал обсудить права геев с Чайкой и Колокольцевым,путин пообещать обсудить право геев с чайка и колокольцевой,https://news.yandex.ru/yandsearch?cl4url=lenta.ru%2Fnews%2F2017%2F05%2F05%2Fgayrights%2F,"Президент Владимир Путин пообещал обсудить с генпрокурором Юрием Чайкой и главой МВД Владимиром Колокольцевым права гомосексуалистов на Северном Кавказе. Такое обещание глава государства дал в ходе беседы с уполномоченным по правам человека Татьяной Москальковой, сообщает ТАСС.",президент владимир путин пообещать обсудить с генпрокурор юрий чайка и главый мвд владимир колокольцевой право гомосексуалист на северный кавказ такой обещание глава государство дать в ход беседа с уполномоченный по право человек татьяна москальков сообщать тасс
